order,group,code,strain,rep,treat,dnds,dnds.unaware,Population
11,2,1,rpl19a,1,NL,1.088205648,0.864689136,1
12,2,2,rpl19a,2,NL,0.489692342,0.259406514,2
13,2,3,rpl19a,3,NL,0.489692403,0.518813352,3
14,2,4,rpl19a,4,NL,1.632308799,0.864689136,4
15,2,5,rpl19a,5,NL,0.435282155,0.21617221,5
21,3,6,pmr1,1,NL,0.285653773,0.504401897,6
22,3,7,pmr1,2,NL,0.279824128,0.288229624,7
23,3,8,pmr1,3,NL,1.142615974,0.494107884,8
24,3,9,pmr1,4,NL,0.571307827,0.864689136,9
25,3,10,pmr1,5,NL,0.652923257,0.288229624,10
31,4,11,sch9,1,NL,0.979385044,0.768612537,11
32,4,12,sch9,2,NL,0.326461441,0.224178481,12
33,4,13,sch9,3,NL,0.587630883,2.017608598,13
34,4,14,sch9,4,NL,0.42439989,0.461167407,14
35,4,15,sch9,5,NL,0.652923285,0.672535946,15
41,5,16,ypt6,1,NL,0.746197972,0.384306036,16
42,5,17,ypt6,2,NL,0.544102624,0.144114709,17
43,5,18,ypt6,3,NL,0.419736242,0.403521467,18
44,5,19,ypt6,4,NL,0.652923257,0.396315635,19
45,5,20,ypt6,5,NL,0.816154173,0.247053889,20
51,6,21,tor1,1,NL,1.632308673,0.288229598,21
52,6,22,tor1,2,NL,0,0.144114771,22
53,6,23,tor1,3,NL,0.734538693,0.504401897,23
54,6,24,tor1,4,NL,0.979385047,1.15291895,24
55,6,25,tor1,5,NL,0.233186764,0.256203987,25
61,7,26,tif2,1,NL,0.761743863,0.960765741,26
62,7,27,tif2,2,NL,1.305846834,0.461167407,27
63,7,28,tif2,3,NL,0.204038393,0.576459331,28
64,7,29,tif2,4,NL,0.761743863,0.384306213,29
65,7,30,tif2,5,NL,0.897769586,1.15291895,30
71,8,31,JD174,1,NL,0.652923257,0.468373057,31
72,8,32,JD174,2,NL,0.163230775,0.345875531,32
73,8,33,JD174,3,NL,0.391753875,0.504401897,33
74,8,34,JD174,4,NL,0.8488003,0.624497565,34
75,8,35,JD174,5,NL,0.734538693,1.297033865,35
1,1,36,BY4742,1,NL,0.253914434,0.720574216,36
2,1,37,BY4742,2,NL,0.217640935,0.518813352,37
3,1,38,BY4742,3,NL,0.652923229,0.720574266,38
4,1,39,BY4742,4,NL,0.8161541,0.247053889,39
5,1,40,BY4742,5,NL,0.233186764,0.672535946,40
16,2,41,rpl19a,1,L,1.632308673,0.432344406,41
17,2,42,rpl19a,2,L,0.571307827,0.384306125,42
18,2,43,rpl19a,3,L,0.8488003,0.749397172,43
19,2,44,rpl19a,4,L,0.408076868,0.749397172,44
20,2,45,rpl19a,5,L,1.142615934,1.008804047,45
26,3,46,pmr1,1,L,0.373098867,0.576459331,46
27,3,47,pmr1,2,L,0.391753729,1.03762704,47
28,3,48,pmr1,3,L,3.264617747,3.746987729,48
29,3,49,pmr1,4,L,1.175262189,1.008804049,49
30,3,50,pmr1,5,L,0.35613971,0.497851003,50
36,4,51,sch9,1,L,0.816154173,0.864689136,51
37,4,52,sch9,2,L,0.544102624,1.152918972,52
38,4,53,sch9,3,L,0.228522963,0.448357075,53
39,4,54,sch9,4,L,0.598512911,0.658810607,54
40,4,55,sch9,5,L,0.707333496,2.305838563,55
46,5,56,ypt6,1,L,0.652923201,0.807043137,56
47,5,57,ypt6,2,L,0.652923201,0.624497565,57
48,5,58,ypt6,3,L,0.761743796,0.936746582,58
49,5,59,ypt6,4,L,0.544102624,0.53528356,59
50,5,60,ypt6,5,L,0.816154136,0.432344467,60
56,6,61,tor1,1,L,0.530499992,0.432344406,61
57,6,62,tor1,2,L,2.285232508,0.864689121,62
58,6,63,tor1,3,L,0.571307827,0.461167407,63
59,6,64,tor1,4,L,0.195876817,0.288229522,64
60,6,65,tor1,5,L,0.718215581,0.57645924,65
66,7,66,tif2,1,L,0.290187936,0.360286928,66
67,7,67,tif2,2,L,0.373098867,0.576459301,67
68,7,68,tif2,3,L,0.734538693,0.288229573,68
69,7,69,tif2,4,L,1.013749505,0.786080149,69
70,7,70,tif2,5,L,0.652923257,0.720574165,70
76,8,71,JD174,1,L,0.761743863,0.324258224,71
77,8,72,JD174,2,L,0.408076868,0.480382691,72
78,8,73,JD174,3,L,0.652923257,1.44114895,73
79,8,74,JD174,4,L,1.523488152,0.576459301,74
80,8,75,JD174,5,L,0.217640872,0.288229445,75
6,1,76,BY4742,1,L,0.408076868,1.873493631,76
7,1,77,BY4742,2,L,0.367269166,0.658810607,77
8,1,78,BY4742,3,L,0.652923229,0.768612471,78
9,1,79,BY4742,4,L,0.734538693,0.92233508,79
10,1,80,BY4742,5,L,0.897769586,1.297033962,80